省份,大学,类型,公或民办,本或专科,985,211,双一流,城市,隶属于,地址
河北,华北科技学院,理工类,公办,普通本科,2,2,,廊坊市,应急管理部,北京东燕郊开发区学院大街467号
河北,河北科技大学,理工类,公办,普通本科,2,2,,石家庄市,河北省,河北省石家庄市裕翔街26号
河北,河北工程大学,理工类,公办,普通本科,2,2,,邯郸市,河北省,河北省邯郸经济技术开发区太极路19号
河北,燕山大学,理工类,公办,普通本科,2,2,,秦皇岛市,河北省,河北省秦皇岛市海港区河北大街438号
河北,河北经贸大学,财经类,公办,普通本科,2,2,,石家庄市,河北省,河北省石家庄市学府路47号
河北,石家庄铁道大学,理工类,公办,普通本科,2,2,,石家庄市,河北省,石家庄市北二环东路17号
河北,河北医科大学,医药类,公办,普通本科,2,2,,石家庄市,河北省,"中山校区：河北省石家庄市中山东路361号,建华校区：河北省石家庄市建华南大街309号"
河北,河北地质大学,财经类,公办,普通本科,2,2,,石家庄市,河北省,"主校区：石家庄市槐安东路136号,北校区：石家庄市景源街26号"
河北,河北师范大学,师范类,公办,普通本科,2,2,,石家庄市,河北省,河北省石家庄市南二环东路20号
河北,华北电力大学保定校区,理工类,公办,普通本科,2,1,双一流,保定市,教育部,河北省保定市永华北大街619号
河北,东北大学秦皇岛分校,理工类,公办,普通本科,1,1,,秦皇岛市,教育部,河北省秦皇岛经济技术开发区泰山路143号
河北,燕京理工学院,理工类,民办,普通本科,2,2,,廊坊市,河北省教育厅,北京东燕郊国家高新技术产业开发区迎宾北路45号
河北,北华航天工业学院,理工类,公办,普通本科,2,2,,廊坊市,河北省,河北省廊坊市爱民东道133号
河北,河北农业大学,农林类,公办,普通本科,2,2,,保定市,河北省,河北省保定市灵雨寺街289号
河北,河北金融学院,财经类,公办,普通本科,2,2,,保定市,河北省,河北省保定市恒祥北大街3188号
河北,河北科技师范学院,师范类,公办,普通本科,2,2,,秦皇岛市,河北省,"秦皇岛校区：河北省秦皇岛市海港区河北大街西段360号,昌黎校区：河北省秦皇岛市昌黎县城关镇四街河东113号"
河北,保定理工学院,其他,民办,普通本科,2,2,,保定市,河北省教育厅,河北省保定市南二环路1689号
河北,防灾科技学院,理工类,公办,普通本科,2,2,,廊坊市,中国地震局,北京东燕郊国家高新技术产业开发区学院大街465号
河北,廊坊师范学院,师范类,公办,普通本科,2,2,,廊坊市,河北省,"廊坊校区地址：河北省廊坊市爱民西道100号 ,固安校区地址：河北省廊坊市固安县城东"
河北,石家庄学院,综合类,公办,普通本科,2,2,,石家庄市,河北省,"北校区：石家庄高新技术产业开发区长江大道6号,南校区：石家庄高新技术产业开发区珠峰大街288号"
河北,中央司法警官学院,政法类,公办,普通本科,2,2,,保定市,司法部,河北省保定市七一中路103号
河北,河北建筑工程学院,理工类,公办,普通本科,2,2,,张家口市,河北省,河北省张家口市朝阳西大街13号
河北,河北环境工程学院,综合类,公办,普通本科,2,2,,秦皇岛市,河北省,河北省秦皇岛市北戴河区金港大道8号
河北,邯郸学院,师范类,公办,普通本科,2,2,,邯郸市,河北省,"邯郸学院本部：河北省邯郸市学院北路530号,邯郸学院大名分院：河北省大名县京府大街43号"
河北,河北北方学院,综合类,公办,普通本科,2,2,,张家口市,河北省,河北省张家口市高新区钻石南路11号
河北,承德医学院,医药类,公办,普通本科,2,2,,承德市,河北省,河北省承德市双桥区安远路
河北,河北工业职业技术大学,理工类,公办,普通本科,2,2,,石家庄市,河北省,河北省石家庄市裕华东路70号
河北,保定学院,师范类,公办,普通本科,2,2,,保定市,河北省,河北省保定市七一东路3027号
河北,沧州交通学院,理工类,民办,普通本科,2,2,,沧州市,河北省教育厅,河北省黄骅市学院路2009号
河北,衡水学院,师范类,公办,普通本科,2,2,,衡水市,河北省,河北省衡水市和平西路1088号
河北,河北医科大学临床学院,医药类,民办,普通本科,2,2,,石家庄市,河北省教育厅,河北省石家庄市建华南大街309号
河北,河北科技工程职业技术大学,理工类,公办,普通本科,2,2,,保定市,河北省,河北省保定市瑞祥大街282号
